Time Window：2024-12-03 14:24:39 - 2024-12-03 14:25:39, Buy Volume: 0, Sell Volume: 0, Ratio: 0.0, Total Volume: 0 
Time Window：2024-12-03 14:25:09 - 2024-12-03 14:26:09, Buy Volume: 0, Sell Volume: 0, Ratio: 0.0, Total Volume: 0 
Time Window：2024-12-03 14:25:39 - 2024-12-03 14:26:39, Buy Volume: 0, Sell Volume: 0, Ratio: 0.0, Total Volume: 0 
Time Window：2024-12-03 14:26:09 - 2024-12-03 14:27:09, Buy Volume: 0, Sell Volume: 0, Ratio: 0.0, Total Volume: 0 
Time Window：2024-12-03 14:26:39 - 2024-12-03 14:27:39, Buy Volume: 0, Sell Volume: 0, Ratio: 0.0, Total Volume: 0 
Time Window：2024-12-03 14:27:09 - 2024-12-03 14:28:09, Buy Volume: 0, Sell Volume: 0, Ratio: 0.0, Total Volume: 0 
Time Window：2024-12-03 14:27:39 - 2024-12-03 14:28:39, Buy Volume: 0, Sell Volume: 0, Ratio: 0.0, Total Volume: 0 
Time Window：2024-12-03 14:28:09 - 2024-12-03 14:29:09, Buy Volume: 0, Sell Volume: 0, Ratio: 0.0, Total Volume: 0 
Time Window：2024-12-03 14:28:39 - 2024-12-03 14:29:39, Buy Volume: 0, Sell Volume: 0, Ratio: 0.0, Total Volume: 0 
Time Window：2024-12-03 14:29:09 - 2024-12-03 14:30:09, Buy Volume: 0, Sell Volume: 0, Ratio: 0.0, Total Volume: 0 
Time Window：2024-12-03 14:29:39 - 2024-12-03 14:30:39, Buy Volume: 0, Sell Volume: 0, Ratio: 0.0, Total Volume: 0 
Time Window：2024-12-03 14:30:09 - 2024-12-03 14:31:09, Buy Volume: 0, Sell Volume: 0, Ratio: 0.0, Total Volume: 0 
Time Window：2024-12-03 14:30:39 - 2024-12-03 14:31:39, Buy Volume: 0, Sell Volume: 0, Ratio: 0.0, Total Volume: 0 
Time Window：2024-12-03 14:31:09 - 2024-12-03 14:32:09, Buy Volume: 0, Sell Volume: 0, Ratio: 0.0, Total Volume: 0 
Time Window：2024-12-03 14:31:39 - 2024-12-03 14:32:39, Buy Volume: 0, Sell Volume: 0, Ratio: 0.0, Total Volume: 0 
Time Window：2024-12-03 14:32:09 - 2024-12-03 14:33:09, Buy Volume: 0, Sell Volume: 0, Ratio: 0.0, Total Volume: 0 
Time Window：2024-12-03 14:32:39 - 2024-12-03 14:33:39, Buy Volume: 0, Sell Volume: 0, Ratio: 0.0, Total Volume: 0 
Time Window：2024-12-03 14:33:09 - 2024-12-03 14:34:09, Buy Volume: 0, Sell Volume: 0, Ratio: 0.0, Total Volume: 0 
Time Window：2024-12-03 14:33:39 - 2024-12-03 14:34:39, Buy Volume: 0, Sell Volume: 0, Ratio: 0.0, Total Volume: 0 
Time Window：2024-12-03 14:34:09 - 2024-12-03 14:35:09, Buy Volume: 0, Sell Volume: 0, Ratio: 0.0, Total Volume: 0 
Time Window：2024-12-03 14:34:39 - 2024-12-03 14:35:39, Buy Volume: 0, Sell Volume: 0, Ratio: 0.0, Total Volume: 0 
Time Window：2024-12-03 14:35:09 - 2024-12-03 14:36:09, Buy Volume: 0, Sell Volume: 0, Ratio: 0.0, Total Volume: 0 
Time Window：2024-12-03 14:35:39 - 2024-12-03 14:36:39, Buy Volume: 0, Sell Volume: 0, Ratio: 0.0, Total Volume: 0 
Time Window：2024-12-03 14:36:09 - 2024-12-03 14:37:09, Buy Volume: 0, Sell Volume: 0, Ratio: 0.0, Total Volume: 0 
Time Window：2024-12-03 14:36:39 - 2024-12-03 14:37:39, Buy Volume: 0, Sell Volume: 0, Ratio: 0.0, Total Volume: 0 
Time Window：2024-12-03 14:37:09 - 2024-12-03 14:38:09, Buy Volume: 0, Sell Volume: 0, Ratio: 0.0, Total Volume: 0 
Time Window：2024-12-03 14:37:39 - 2024-12-03 14:38:39, Buy Volume: 0, Sell Volume: 0, Ratio: 0.0, Total Volume: 0 
Time Window：2024-12-03 14:38:09 - 2024-12-03 14:39:09, Buy Volume: 0, Sell Volume: 0, Ratio: 0.0, Total Volume: 0 
Time Window：2024-12-03 14:38:39 - 2024-12-03 14:39:39, Buy Volume: 0, Sell Volume: 0, Ratio: 0.0, Total Volume: 0 
Time Window：2024-12-03 14:39:09 - 2024-12-03 14:40:09, Buy Volume: 0, Sell Volume: 0, Ratio: 0.0, Total Volume: 0 
Time Window：2024-12-03 14:39:39 - 2024-12-03 14:40:39, Buy Volume: 0, Sell Volume: 0, Ratio: 0.0, Total Volume: 0 
Time Window：2024-12-03 14:40:09 - 2024-12-03 14:41:09, Buy Volume: 0, Sell Volume: 0, Ratio: 0.0, Total Volume: 0 
Time Window：2024-12-03 14:40:39 - 2024-12-03 14:41:39, Buy Volume: 0, Sell Volume: 0, Ratio: 0.0, Total Volume: 0 
Time Window：2024-12-03 14:41:09 - 2024-12-03 14:42:09, Buy Volume: 0, Sell Volume: 0, Ratio: 0.0, Total Volume: 0 
Time Window：2024-12-03 14:41:39 - 2024-12-03 14:42:39, Buy Volume: 0, Sell Volume: 0, Ratio: 0.0, Total Volume: 0 
Time Window：2024-12-03 14:42:09 - 2024-12-03 14:43:09, Buy Volume: 0, Sell Volume: 0, Ratio: 0.0, Total Volume: 0 
Time Window：2024-12-03 14:42:39 - 2024-12-03 14:43:39, Buy Volume: 0, Sell Volume: 0, Ratio: 0.0, Total Volume: 0 
Time Window：2024-12-03 14:43:09 - 2024-12-03 14:44:09, Buy Volume: 0, Sell Volume: 0, Ratio: 0.0, Total Volume: 0 
Time Window：2024-12-03 14:43:39 - 2024-12-03 14:44:39, Buy Volume: 0, Sell Volume: 0, Ratio: 0.0, Total Volume: 0 
Time Window：2024-12-03 14:44:09 - 2024-12-03 14:45:09, Buy Volume: 0, Sell Volume: 0, Ratio: 0.0, Total Volume: 0 
Time Window：2024-12-03 14:44:39 - 2024-12-03 14:45:39, Buy Volume: 0, Sell Volume: 0, Ratio: 0.0, Total Volume: 0 
Time Window：2024-12-03 14:45:09 - 2024-12-03 14:46:09, Buy Volume: 0, Sell Volume: 0, Ratio: 0.0, Total Volume: 0 
Time Window：2024-12-03 14:45:39 - 2024-12-03 14:46:39, Buy Volume: 0, Sell Volume: 0, Ratio: 0.0, Total Volume: 0 
Time Window：2024-12-03 14:46:09 - 2024-12-03 14:47:09, Buy Volume: 0, Sell Volume: 0, Ratio: 0.0, Total Volume: 0 
Time Window：2024-12-03 14:46:39 - 2024-12-03 14:47:39, Buy Volume: 0, Sell Volume: 0, Ratio: 0.0, Total Volume: 0 
Time Window：2024-12-03 14:47:09 - 2024-12-03 14:48:09, Buy Volume: 0, Sell Volume: 0, Ratio: 0.0, Total Volume: 0 
Time Window：2024-12-03 14:47:39 - 2024-12-03 14:48:39, Buy Volume: 0, Sell Volume: 0, Ratio: 0.0, Total Volume: 0 
Time Window：2024-12-03 14:48:09 - 2024-12-03 14:49:09, Buy Volume: 0, Sell Volume: 0, Ratio: 0.0, Total Volume: 0 
